Handle,Command,Title,Tags,Tags Command,Smart Collections,Status,Published,Metafield: custom.tea_type [single_line_text_field],Metafield: custom.ingredients [multi_line_text_field],Metafield: custom.aroma [single_line_text_field],Metafield: custom.liquor_colour [single_line_text_field],Metafield: custom.certifications [single_line_text_field],Metafield: custom.contains_caffeine [single_line_text_field],Metafield: custom.origin [single_line_text_field],Metafield: custom.allergens [multi_line_text_field],Metafield: custom.storage [single_line_text_field],Body HTML,Metafield: custom.tasting_notes [single_line_text_field],Metafield: custom.best_enjoyed [single_line_text_field]
ceremonial-matcha,MERGE,Organic Ceremonial Matcha Green Tea Powder,"Category_Tea, Function_Focus and Energy, Type_Matcha",MERGE,All Teas; Focus and Energy; Matcha,active,TRUE,"Green, Matcha ceremonial grade",,,,,,"Shizuoka, Japan",,,"<p>First harvest, shade-grown, stone-ground, our Ceremonial Matcha from Shizuoka is the real deal. Smooth, naturally sweet, and free of the bitterness that plagues lower grades. Whisk it, latte it, blend it. It holds up beautifully in all three.</p>","Smooth, naturally sweet, with a subtle umami finish","Any time of day, whisked traditionally or as a latte"
chamomile-care-herbal-tea,MERGE,Organic Chamomile Herbal Tea,"Category_Tea, Function_Gut Reset, Function_Wind down, Type_Herbal Tea",MERGE,All Teas; Gut Reset; Herbal Tea; Wind down,active,TRUE,,,,,,,,,,,,
chinese-jasmine-green-tea,MERGE,Chinese Jasmine Green Tea,"Category_Tea, Type_Green Tea",MERGE,All Teas; Green Tea,active,TRUE,"Green Tea, floral",,,,,,China,,,"<p>Delicate green tea meets fragrant jasmine blossoms and the result is pure magic. Naturally sweet, beautifully floral, and so smooth it practically drinks itself. The kind of cup that turns a regular afternoon into something worth savouring.</p>","Floral, lightly sweet, delicate with a clean finish","Morning or afternoon, on its own, never with milk"
chocolate-mint-black-tea,MERGE,Chocolate Mint Black Tea,"Category_Tea, Type_Black Tea",MERGE,All Teas; Black Tea,active,TRUE,"Black, flavoured",,,,,,Sri Lanka,,,"<p>Your favourite dessert, in a cup. Smooth Ceylon black tea layered with cocoa shells and peppermint for a rich, cool, deeply satisfying brew. Indulgent enough to feel like a treat, light enough to drink any time. The after-dinner tea you didn&#x27;t know you needed.</p>","Rich chocolate, cool mint, smooth with a sweet finish",Afternoon or after dinner on its own or with a splash of milk
classic-english-breakfast-black-tea,MERGE,Classic English Breakfast Black Tea,"Category_Tea, Type_Black Tea",MERGE,All Teas; Black Tea,active,TRUE,"Black, breakfast blend",,,,,,"Assam, India",,,"<p>Bold enough to wake you up. Smooth enough to keep you coming back. A full-bodied breakfast blend that holds up beautifully with milk or stands strong on its own. No drama, just a really great cup, every single morning.</p>","Rich, malty, full-bodied with a smooth finish",Morning with or without milk
culinary-matcha,MERGE,Culinary Matcha Green Tea Powder,"Category_Tea, Type_Matcha",MERGE,All Teas; Matcha,active,TRUE,"Green, Matcha culinary grade",,,,,,Japan,,,"<p>Not all matcha is made for the bowl and this one knows it. Our Culinary Matcha is bold, earthy, and built for everything else: lattes, smoothies, baked goods, overnight oats. That vivid green colour and punchy matcha flavour, in everything you make.</p>","Earthy, robust, with a bold matcha flavour","In lattes, smoothies, baking, and cooking"
divine-earl-grey-black-tea,MERGE,Divine Earl Grey Black Tea,"Category_Tea, Type_Black Tea",MERGE,All Teas; Black Tea,active,TRUE,"Black, flavoured",,,,,,"Assam, India",,,"<p>The classic, done right. Bold Assam black tea meets fragrant bergamot and delicate rose petals for a cup that&#x27;s floral, smooth, and quietly luxurious. The Earl Grey you will finally stop settling for something less than.</p>","Floral, citrus bergamot, smooth with a sweet finish",Morning or afternoon on its own or with a splash of milk
divine-ruby-red-iced-tea,MERGE,Divine Ruby Red Iced Tea,"Category_Tea, Type_Iced Tea",MERGE,All Teas; Iced Tea,active,TRUE,"Herbal, iced, caffeine free",,,,,,,,,"<p>The one that looks as good as it tastes. Rooibos, hibiscus, berries, and rosehips brew into a stunning deep ruby red that&#x27;s tropical, aromatic, and completely caffeine free. Cold brew it, pour it over ice, and watch everyone ask what you&#x27;re drinking.</p>","Tropical, fruity, lightly tart with a smooth rooibos base",Cold over ice any time of day
divine-tangy-lemon-iced-tea,MERGE,Divine Tangy Lemon Iced Tea,"Category_Tea, Type_Iced Tea",MERGE,All Teas; Iced Tea,active,TRUE,"Herbal, iced, caffeine free",,,,,,,,,"<p>Sunshine in a glass. Lemongrass, citrus fruits, and lemon verbena come together in a bright, zesty brew that&#x27;s crisp, refreshing, and completely caffeine free. Brew it hot, pour it over ice, and watch it disappear faster than you expected.</p>","Bright citrus, zesty, lightly sweet with a clean lemongrass finish","Cold over ice, any time of day"
energize-hemp-tea,MERGE,Energize Hemp Tea,"Category_Tea, Function_Focus and Energy",MERGE,All Teas; Focus and Energy,active,TRUE,,,,,,,,,,,,
