Handle,Command,Title,Body HTML,Tags Command,Metafield: custom.tasting_notes [single_line_text_field],Metafield: custom.best_enjoyed [single_line_text_field],Metafield: custom.origin [single_line_text_field],Metafield: custom.tea_type [single_line_text_field]
japanese-sencha-green-tea,MERGE,Japanese Sencha Green Tea,"<p>Japan&#x27;s go-to green tea for a reason. Steamed fresh after harvest, our Sencha delivers a crisp, vibrant cup with subtle sweetness and smooth, natural energy. Light, refreshing, and easy to love, your new daily ritual in a cup.</p>",MERGE,"Fresh, grassy, lightly sweet with a clean finish","Morning or afternoon, on its own, never with milk",Japan,Green Tea
chinese-jasmine-green-tea,MERGE,Chinese Jasmine Green Tea,"<p>Delicate green tea meets fragrant jasmine blossoms and the result is pure magic. Naturally sweet, beautifully floral, and so smooth it practically drinks itself. The kind of cup that turns a regular afternoon into something worth savouring.</p>",MERGE,"Floral, lightly sweet, delicate with a clean finish","Morning or afternoon, on its own, never with milk",China,"Green Tea, floral"
japanese-genmaicha-green-tea,MERGE,Japanese Genmaicha Green Tea,"<p>Green tea got a glow-up. Our Genmaicha blends smooth Japanese green tea with toasted brown rice for a warm, nutty cup that&#x27;s comforting, light on caffeine, and completely unlike anything else in your collection.</p>",MERGE,"Nutty, toasty, smooth with a hint of green freshness","Morning or afternoon, perfect on its own or alongside a meal",Japan,"Green Tea, roasted rice blend"
peach-mango-tango-green-tea,MERGE,Peach Mango Tango Green Tea,"<p>Sweet, fruity, and exactly what it promises. Smooth Sencha meets juicy mango and sun-ripened peach for a cup that&#x27;s bright, tropical, and impossible not to love. Hot or cold brewed, it&#x27;s a vibe either way.</p>",MERGE,"Sweet, fruity, tropical with a light green tea base","Afternoon, hot or cold brewed over ice",Japan,"Green Tea, flavoured"
japanese-hojicha-green-tea,MERGE,Japanese Hōjicha Green Tea,"<p>Green tea, but make it cosy. Roasted to perfection, our Hōjicha brews into a deep, toasty cup with caramel-like warmth and barely any caffeine. Smooth, mellow, and perfect at any hour this is the one that changes your mind about green tea.</p>",MERGE,"Toasty, warm, smooth with a hint of caramel","Evening or anytime, low caffeine makes it perfect for late in the day",Japan,"Green Tea, roasted"
rainbow-rain-green-tea,MERGE,Rainbow Rain Green Tea,"<p>Bold berries meet smooth Sencha and the result is a cup that&#x27;s as vibrant as it looks. Elderberries, blackcurrant, and blueberries give this blend a naturally sweet, floral depth that you didn&#x27;t know you needed. Hot or cold brewed, it&#x27;s always a good idea.</p>",MERGE,"Floral, berry-forward, lightly sweet with a clean green tea finish","Morning or afternoon, on its own or cold brewed over ice",Japan,"Green Tea, flavoured"
tropical-sunshine-green-tea,MERGE,Tropical Sunshine Green Tea,"<p>One sip and you are somewhere warmer. Orange peel, pineapple, and calendula petals blended with smooth Sencha for a bright, citrusy cup that&#x27;s pure tropical energy. Summer in a cup, all year round.</p>",MERGE,"Citrus, tropical, lightly sweet with a fresh green tea base","Afternoon, hot or cold brewed over ice",Japan,"Green Tea, flavoured"
divine-earl-grey-black-tea,MERGE,Divine Earl Grey Black Tea,"<p>The classic, done right. Bold Assam black tea meets fragrant bergamot and delicate rose petals for a cup that&#x27;s floral, smooth, and quietly luxurious. The Earl Grey you will finally stop settling for something less than.</p>",MERGE,"Floral, citrus bergamot, smooth with a sweet finish",Morning or afternoon on its own or with a splash of milk,"Assam, India","Black, flavoured"
classic-english-breakfast-black-tea,MERGE,Classic English Breakfast Black Tea,"<p>Bold enough to wake you up. Smooth enough to keep you coming back. A full-bodied breakfast blend that holds up beautifully with milk or stands strong on its own. No drama, just a really great cup, every single morning.</p>",MERGE,"Rich, malty, full-bodied with a smooth finish",Morning with or without milk,"Assam, India","Black, breakfast blend"
organic-assam-black-tea,MERGE,Organic Assam Black Tea,"<p>One ingredient, one origin, one of the best black teas in the world. Bold, malty, and deeply full-bodied, our single origin Assam does exactly what great tea should do. No additives, no shortcuts, just the leaf doing what it does best.</p>",MERGE,"Bold, malty, rich with a smooth finish",Morning with or without milk,"Assam, India",Black
pumpkin-chai-black-tea,MERGE,Pumpkin Chai Black Tea,"<p>Pumpkin spice, but make it actually good. Bold Kenyan black tea meets pumpkin flakes, cinnamon, and orange peel for a rich, warming cup that&#x27;s cozy without being obvious. Brew it strong, add steamed milk, and thank yourself later.</p>",MERGE,"Warm, spiced, smooth with a hint of citrus",Any time of year on its own or as a latte,Kenya,"Black, spiced seasonal blend"
chocolate-mint-black-tea,MERGE,Chocolate Mint Black Tea,"<p>Your favourite dessert, in a cup. Smooth Ceylon black tea layered with cocoa shells and peppermint for a rich, cool, deeply satisfying brew. Indulgent enough to feel like a treat, light enough to drink any time. The after-dinner tea you didn&#x27;t know you needed.</p>",MERGE,"Rich chocolate, cool mint, smooth with a sweet finish",Afternoon or after dinner on its own or with a splash of milk,Sri Lanka,"Black, flavoured"
red-roses-black-tea,MERGE,Red Roses Black Tea,"<p>Quietly luxurious and worth every sip. Organic black tea blended with real rose petals for a cup that&#x27;s floral, smooth, and just a little bit special. Beautiful enough to gift, good enough to keep entirely for yourself.</p>",MERGE,"Floral, lightly sweet, smooth with a gentle astringency",Morning or afternoon on its own or with a touch of honey,India,"Black, floral"
chamomile-herbal-tea,MERGE,Organic Chamomile Herbal Tea,"<p>Some teas you drink for the taste. This one you drink for how it makes you feel. Chamomile, hibiscus, and lemongrass brew into a soft, floral cup that slows everything down. Caffeine free, naturally calming, and the perfect way to end any day.</p>",MERGE,"Floral, lightly sweet, with a gentle citrus finish",Evening as part of a wind down ritual,Egypt,"Herbal, caffeine free"
organic-turmeric-herbal-tea,MERGE,Organic Turmeric Herbal Tea,"<p>Two ingredients. Thousands of years of tradition. Organic turmeric and black pepper, a pairing trusted for centuries for good reason. Earthy, warming, and caffeine free. The cup that quietly earns its place in your routine.</p>",MERGE,"Earthy, warm, lightly spiced with a gentle pepper finish",Morning or afternoon on its own or with a touch of honey,India,"Herbal, caffeine free"
organic-immunity-herbal-tea,MERGE,Organic Immunity Herbal Tea,,MERGE,,,,"Herbal, caffeine free"
masala-chai-black-tea,MERGE,Masala Chai Black Tea,"<p>Bold Assam black tea, whole spices, and zero shortcuts. Our Masala Chai is warming, rich, and deeply satisfying, the kind of cup that lingers long enough to make you want another. Brew it strong, add steamed milk, and let it do its thing.</p>",MERGE,"Warm, bold, spiced with a sweet finish",Morning or afternoon on its own or as a chai latte,"Assam, India","Black, spiced blend"
mumbai-chai,MERGE,Mumbai Chai Black Tea,"<p>If Masala Chai is the classic, Mumbai Chai is what happens when you turn it up. More cardamom. More ginger. More of everything that makes a chai worth drinking. Brew it strong, add steamed milk, and don&#x27;t be surprised when it becomes the only chai you reach for.</p>",MERGE,"Bold, spicy, warming — cardamom forward with a ginger kick",Morning or anytime you need something with a bit more fire,"Assam, India","Black, spiced chai blend"
tulsi-chai,MERGE,Tulsi Chai,"<p>Chai spices meet Tulsi, Holy Basil, for a blend that&#x27;s warm, aromatic, and genuinely uplifting. Smooth and comforting with a natural wellness twist that makes every cup feel intentional. Your everyday ritual, elevated.</p>",MERGE,"Warm, spiced, aromatic with a naturally uplifting herbal note",Morning or evening on its own or with steamed milk,,"Chai, adaptogenic"
